# Vertical beam profile of CHESS ID4B, June 2026 beamtime fuchs-4355-f.
# Derived from D:/fuchs-4355-f/raw/RuO2_LM2406141 scan 2
#   #S 2  ascan  samz 7.302 8.102  60 0.5
# as profile = -d(diode/ic1)/d(samz), restricted to the falling edge
# (samz <= 7.99 mm) over which the sample cuts into the beam.
# Load with orgui.datautils.xrayutils.beamprofile.read_profile_file(path)
# (z_scale=1e-3, height_scan=False).
# 
# samz/mm    profile/(counts per mm, arb. scale)
    7.3020     294695.4138
    7.3155    1803931.9388
    7.3285    1958324.0491
    7.3420    1305889.4609
    7.3555    2347495.5891
    7.3685    2288318.6022
    7.3820    2192959.9487
    7.3955    3269468.8026
    7.4085    4136540.8307
    7.4220    4959716.5227
    7.4355    5264025.9586
    7.4485    5707841.7706
    7.4620    5586810.8294
    7.4755    6201984.8793
    7.4885    8462823.5933
    7.5020    9968345.1060
    7.5155   13265721.3881
    7.5285   19864610.8929
    7.5420   25096614.7920
    7.5555   35598724.1396
    7.5685   55724639.6014
    7.5820   67149733.4379
    7.5955   64070328.2879
    7.6085   56708315.1972
    7.6220   54095925.4972
    7.6355   61507613.9599
    7.6485   67152969.6767
    7.6620   70950743.7710
    7.6755   79272289.9380
    7.6885   84485662.5773
    7.7020   88664874.1324
    7.7155   92139370.8677
    7.7285   86880910.7256
    7.7420   77064190.6256
    7.7555   66818242.4925
    7.7685   60094915.6668
    7.7820   57551766.6221
    7.7955   56689982.3935
    7.8085   53507650.2199
    7.8220   47695833.7373
    7.8355   43252699.8872
    7.8485   38000914.3240
    7.8620   31381374.3448
    7.8755   25535179.2838
    7.8885   20321887.3729
    7.9020   14958794.7764
    7.9155   11368172.9959
    7.9285    8407981.8674
    7.9420    5275565.5048
    7.9555    3046382.5639
    7.9685    1635594.0125
    7.9820     290370.8597
